OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
2092;06037C;06037C_3768;F;06037C_STUDY10;3.67478605767246e-07;0.00724501393992658
2093;06037C;06037C_3769;F;06037C_STUDY10;6.41193764749914e-10;0.00023745023657687
2098;06037C;06037C_517; ;06037C_FIRM1;1.80238430402824e-07;0.00234809357221122
2104;06037C;06037C_645; ;06037C_FIRM1;1.82364101419807e-06;0.0105130239171571
2112;06037C;06037C_782; ;06037C_FIRM1;1.01649538919446e-05;0.0559209541983997
2114;06037C;06037C_784; ;06037C_FIRM1;1.28337978821946e-06;0.00938086074203322
2115;06037C;06037C_785; ;06037C_FIRM1;2.21277332457248e-07;0.00238784234664522
2117;06037C;06037C_787; ;06037C_FIRM1;3.69366607628763e-05;0.0527114199727553
2121;06037C;06037C_905; ;06037C_FIRM1;2.21041318582138e-08;0.000842691114374641
2124;06037C;06037C_1140; ;06037C_FIRM1;8.04649960173265e-05;0.066225801182429
2126;06037C;06037C_1142; ;06037C_FIRM1;4.98084773425944e-09;0.000278522060954857
2129;06037C;06037C_1272; ;06037C_FIS1;1.69037321029464e-07;0.00423952890742646
2131;06037C;06037C_1273; ;06037C_STUDY7;3.40753558703e-08;0.00145761491357414
2132;06037C;06037C_1274; ;06037C_STUDY7;5.77417722524842e-08;0.00144978171582278
2133;06037C;06037C_1275; ;06037C_STUDY7;2.06546928893658e-07;0.00347642494748714
2134;06037C;06037C_1276; ;06037C_STUDY7;2.23753886530176e-08;0.00119380306025795
2135;06037C;06037C_1277; ;06037C_STUDY7;3.76776370103471e-08;0.00162214456579913
2146;06037C;06037C_1519;F;06037C_STUDY9;1.29216232380713e-07;0.00225845774902469
2148;06037C;06037C_1521;F;06037C_STUDY9;5.72013050259557e-08;0.00174153688300512
2149;06037C;06037C_1590;F;06037C_STUDY10;3.96141103919945e-07;0.00265342780999689
2150;06037C;06037C_1591;F;06037C_STUDY10;2.28980525207589e-07;0.00743784881918641
2151;06037C;06037C_1592;F;06037C_STUDY10;1.17307081382023e-06;0.00633519234573404
2152;06037C;06037C_1593;F;06037C_STUDY10;2.10857706406387e-07;0.00203749545007823
