OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157191964;-117.994574056645078;33.940274966861736;www.ymcawhittier.org;YMCA Of Greater Whittier-East Whittier Branch;15740 E. Starbuck St.;Whittier;2695;The center provides child care, recreational programs and services for people with disabilities for people of all ages who primarily live in La Habra Heights, La Mirada, Norwalk, Pico Rivera, Santa Fe Springs and Whittier.;90603;33.940275;-117.994574;6563316.13177705;1800645.20541672
157192036;-118.194571056646268;33.845065966956099;www.yhcc-lb.com;Young Horizons - Grisham Cdc Site;11A W. 49th St.;Long Beach;2771;The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.;90805;33.845066;-118.194571;6502586.50520505;1766053.53247423
157192065;-118.147635057190385;34.1734969672058;NULL;Washington Children's Center;130 Penn St.;Pasadena;2800;The center provides child care services for people who live in the Pasadena Unified School District.;91103;34.173497;-118.147635;6517014.71880263;1885552.01362115
157192070;-118.17772425675706;34.169286916958796;www.lvcckids.org/;Linda Vista Children's Center;1259 Linda Vista Ave;Pasadena;2806;The center provides child care primarily for families who live in the Pasadena/San Gabriel Valley area.;91103;34.16928695;-118.1777242;6507910.84691855;1884034.63148531
157192076;-118.127386056946477;34.169636967200809;NULL;Longfellow Children's Center;1377 N. Mar Vista Ave.;Pasadena;2814;The center provides child care services for residents who live in the Pasadena Unified School District area.;91104;34.169637;-118.127386;6523137.71180597;1884138.91211665
157192165;-118.071865056103618;33.842956967110183;NULL;Artesia Children's Center;20650 Norwalk Blvd.;Lakewood;2904;The center provides child care for pre-school aged children of low-income families who live in the ABC Unified School District.;90715;33.842957;-118.071865;6539847.09964697;1765236.63253322
157192173;-118.587053055495844;34.200858966235842;www.ValleyVillage.org;Valley Village;20830 Sherman Way;Winnetka;2907;The agency provides adult day health care, out of home care, and services for people with developmental disabilities for people age 18 and older who live in the San Fernando Valley.;91306;34.200859;-118.587053;6384161.72040156;1895995.09640948
157192208;-118.193300055679572;33.801179966931862;www.yhcc-lb.com;Young Horizons - North Pacific Cdc Site;2418 Pacific Ave.;Long Beach;2942;The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.;90806;33.80118;-118.1933;6502941.74662055;1750081.5453894
157192216;-117.951164057503064;34.139609966643093;www.maryvale-ca.org;Maryvale Infant, Preschool And Kindergarten Educational Center - Duarte;2500 E. Huntington Dr.;Duarte;2950;The center provides comprehensive child care services for children age nine months to six years.;91010;34.13961;-117.951164;6576447.89652397;1873190.71518107
157192221;-117.745500057501246;34.096371967339735;www.casacolina.org;Casa Colina Centers For Rehabilitation - Children's Services;255 E. Bonita Ave.;Pomona;2955;The center provides comprehensive rehabilitation services for children with disabilities, age 0 to 16.;91767;34.096372;-117.7455;6638720.72571822;1857549.56142406
