OBJECTID;X;Y;cat1;cat2;cat3;org_name;Name;addrln1;addrln2;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157255148;-118.116610056305248;33.919839967659037;Education;Public High Schools;;Downey Unified;Columbus Continuation;12330 Woodruff Avenue;;Downey;77276;90241;33.91984;-118.11661;6526291.85510397;1793228.92628606
157255149;-118.116600056001246;33.91958996695319;Education;Public High Schools;;Downey Unified;Downey Adult School;12340 Woodruff Avenue;;Downey;77277;90241;33.91959;-118.1166;6526294.7835758;1793137.94188797
157255150;-118.127970056218814;33.938399966780388;Education;Public High Schools;;Downey Unified;Downey High School;11040 Brookshire Avenue;;Downey;77278;90241;33.9384;-118.12797;6522853.92890897;1799987.51381873
157255151;-118.140210056962431;33.93617996716327;Education;Public High Schools;;Downey Unified;Warren High School;8141 De Palma Street;;Downey;77279;90241;33.93618;-118.14021;6519140.11547047;1799184.56004407
157255170;-117.972310057474232;34.137399966722924;Education;Public High Schools;;Duarte Unified;Duarte High School;1565 East Central Avenue;;Duarte;77298;91010;34.1374;-117.97231;6570049.42703748;1872384.01961598
157255171;-117.985780056658186;34.137549966617875;Education;Public High Schools;;Duarte Unified;Mt. Olive Innovation and Technology High School;1400 Mount Olive Drive;;Duarte;77299;91010;34.13755;-117.98578;6565973.3459508;1872437.7573694
157255211;-118.020590056489041;34.09364996697623;Education;Public High Schools;;El Monte Union High;Arroyo High School;4921 North Cedar Avenue;;El Monte;77340;91732;34.09365;-118.02059;6555436.45363881;1856462.06589565
157255213;-118.034700057054181;34.064339966623578;Education;Public High Schools;;El Monte Union High;El Monte High School;3048 North Tyler Avenue;;El Monte;77342;91731;34.06434;-118.0347;6551160.79683581;1845796.77456222
157255214;-118.013240057201159;34.05241996684687;Education;Public High Schools;;El Monte Union High;Mountain View High School;2900 Parkway Drive;;El Monte;77343;91732;34.05242;-118.01324;6557659.78022888;1841457.30653514
157255215;-118.071460056304403;34.083759966608717;Education;Public High Schools;;El Monte Union High;Rosemead High School;9063 East Mission Drive;;Rosemead;77344;91770;34.08376;-118.07146;6540032.3820848;1852869.96021898
157255216;-118.002450056659455;34.076669967146486;Education;Public High Schools;;El Monte Union High;Fernando R. Ledesma Continuation High School;12347 Ramona Boulevard;;El Monte;77345;91732;34.07667;-118.00245;6560928.41017455;1850282.09334747
157255217;-118.043100056341927;34.035769967450186;Education;Public High Schools;;El Monte Union High;South El Monte High School;1001 Durfee Avenue;;South El Monte;77346;91733;34.03577;-118.0431;6548612.24550247;1835400.58045964
157255218;-118.025400057221603;34.092879967321871;Education;Public High Schools;;El Monte Union High;El Monte Union High School School Community Day;5050 Kings Row;;El Monte;77347;91731;34.09288;-118.0254;6553980.09631531;1856182.18161289
157255220;-118.090790056228798;33.987909967171838;Education;Public High Schools;;El Rancho Unified;Ruben Salazar Continuation;9115 Balfour Street;;Pico Rivera;77349;90660;33.98791;-118.09079;6534147.79346031;1817992.9863379
157255221;-118.086980056772802;33.984139966731355;Education;Public High Schools;;El Rancho Unified;El Rancho High School;6501 South Passons Boulevard;;Pico Rivera;77350;90660;33.98414;-118.08698;6535301.5883968;1816619.98383456
157255234;-118.412320055388193;33.923889966882527;Education;Public High Schools;;El Segundo Unified;Arena High School (Continuation);630 Arena Street;;El Segundo;77363;90245;33.92389;-118.41232;6436582.33996956;1794938.84248565
157255235;-118.415900055908963;33.924209966667703;Education;Public High Schools;;El Segundo Unified;El Segundo High School;640 Main Street;;El Segundo;77364;90245;33.92421;-118.4159;6435496.74174705;1795059.77104956
157255251;-118.242220056447536;34.22367996689394;Education;Public High Schools;;Glendale Unified;Crescenta Valley High School;2900 Community Avenue;;La Crescenta;77380;91214;34.22368;-118.24222;6488449.35795447;1903869.94089597
157255252;-118.250750056467879;34.148759966673225;Education;Public High Schools;;Glendale Unified;Daily (Allan F.) High School (Continuation);220 North Kenwood;;Glendale;77381;91206;34.14876;-118.25075;6485802.80616097;1876611.6030243
157255253;-118.232850056351737;34.144719966571785;Education;Public High Schools;;Glendale Unified;Glendale High School;1440 East Broadway;;Glendale;77382;91205;34.14472;-118.23285;6491215.25727831;1875128.34910107
157255254;-118.269780056403775;34.166549966974856;Education;Public High Schools;;Glendale Unified;Herbert Hoover High School;651 Glenwood Road;;Glendale;77383;91202;34.16655;-118.26978;6480062.43279922;1883100.59299906
157255255;-118.257430056282089;34.239269966582533;Education;Public High Schools;;Glendale Unified;Verdugo Academy;4717 Dunsmore Avenue;;La Crescenta;77384;91214;34.23927;-118.25743;6483866.04887964;1909554.83241332
157255256;-118.253060056762408;34.236809966776541;Education;Public High Schools;;Glendale Unified;Anderson W. Clark Magnet High School;4747 New York Avenue;;La Crescenta;77385;91214;34.23681;-118.25306;6485184.55772555;1908656.24300314
157255257;-118.26151005627446;34.139889966433032;Education;Public High Schools;;Glendale Unified;Jewel City Community Day;440 West Lomita;;Glendale;77386;91204;34.13989;-118.26151;6482538.84418496;1873391.95395181
157255282;-118.26151005627446;34.139889966433032;Education;Public High Schools;;Glendale Unified;College View;440 West Lomita Avenue;;Glendale;77411;91204;34.13989;-118.26151;6482538.84418496;1873391.95395181
157255285;-117.836570057730682;34.136089967264141;Education;Public High Schools;;Glendora Unified;Glendora High School;1600 East Foothill Boulevard;;Glendora;77414;91741;34.13609;-117.83657;6611125.62539671;1871946.33938898
157255286;-117.869080057396843;34.125039967248888;Education;Public High Schools;;Glendora Unified;Whitcomb Continuation High School;350 West Mauna Loa Avenue;;Glendora;77415;91740;34.12504;-117.86908;6601293.06894639;1867910.63945514
157255318;-118.355080056457695;33.961089967329144;Education;Public High Schools;;Inglewood Unified;Inglewood High School;231 South Grevillea Avenue;;Inglewood;77447;90301;33.96109;-118.35508;6453995.32614088;1808410.37098873
157255319;-118.363560056091387;33.956619967024977;Education;Public High Schools;;Inglewood Unified;Inglewood Continuation High School;441 West Hillcrest BoulevaRoad;;Inglewood;77448;90301;33.95662;-118.36356;6451417.96548197;1806792.84436814
157255320;-118.332580056478264;33.939999966877814;Education;Public High Schools;;Inglewood Unified;Morningside High School;10500 South Yukon Avenue;;Inglewood;77449;90303;33.94;-118.33258;6460792.84076105;1800711.96381339
157255321;-118.355680056181882;33.964359966620592;Education;Public High Schools;;Inglewood Unified;City Honors College Preparatory Academy;120 West Regent Street;;Inglewood;77450;90301;33.96436;-118.35568;6453817.59290056;1809601.02969664
157255344;-118.178350056674546;34.193589967054336;Education;Public High Schools;;La Canada Unified;La Canada High School;4463 Oak Grove Drive;;La Canada;77473;91011;34.19359;-118.17835;6507737.24227889;1892879.27291673
157255374;-118.751890055292449;34.150899966521287;Education;Public High Schools;;Las Virgenes Unified;Agoura High School;28545 West Driver Avenue;;Agoura;77503;91301;34.1509;-118.75189;6334184.3981123;1878146.57895698
157255375;-118.751890055292449;34.150899966521287;Education;Public High Schools;;Las Virgenes Unified;Indian Hills Continuation High School;28545 West Driver Avenue;;Agoura;77504;91301;34.1509;-118.75189;6334184.3981123;1878146.57895698
157255376;-118.625890055738694;34.137699966158948;Education;Public High Schools;;Las Virgenes Unified;Calabasas High School;22855 West Mulholland Highway;;Calabasas;77505;91302;34.1377;-118.62589;6372275.51451522;1873081.68652773
157255417;-118.137120056671208;33.796929966994945;Education;Public High Schools;;Long Beach Unified;Select Community Day (Secondary);2221 Argonne Avenue;;Long Beach;77546;90815;33.79693;-118.13712;6520008.28400972;1748506.80214781
157255421;-118.149550055778235;33.80547996784815;Education;Public High Schools;;Long Beach Unified;Beach High School-Intensive Learning Program;3701 East Willow Street;;Long Beach;77550;90815;33.80548;-118.14955;6516236.22954597;1751623.76277739
