OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157253200;-118.334528250184036;34.048245175901656;Eleanor Green Roberts Aquatic Center;;;23043;;34.04824521;-118.33452819;6460333.02048647;1840106.37911889
157253228;-118.213505017010661;34.126831326617399;Taylor Pool;;;23405;;34.12683136;-118.21350496;6497054.78595355;1868605.36313131
157253397;-118.354735403549242;34.013349920475015;Jim Gilliam Recreational and Senior Center;4000 S. La Brea Ave.;Los Angeles;;;;;;
157253404;-118.289241356133374;34.01223546657598;Los Angeles Swim Stadium;;;22855;;34.0122355;-118.2892413;6474013.85172056;1826959.21938965
157253474;-118.439092356679595;34.265585466470682;Richie Valens Park;10736 Laurel Canyon Blvd;Pacoima;;;;;;
157260215;-118.345825055585181;33.97242553666851;City Of Inglewood Parks, Recreation And Community Services Department - Edward Vincent, Jr. Park;700 E Warren Ln;Inglewood;;;;;;
157260847;-118.158476333925876;34.203912292780636;Loma Alta Pool;3330 North Lincoln Avenue;Altadena;83352;91001;34.20391233;-118.15847628;6513752.9779508;1896625.68012206
157260848;-118.033425957338167;34.136675867304042;Norman S. Johnson Aquatic Center;405 South Santa Anita Avenue;Arcadia;83354;91006;34.1366759;-118.0334259;6551555.43384181;1872121.03326531
157260849;-118.189622195342523;34.023551225910836;Ruben Salazar Pool;3864 Whittier Boulevard;Los Angeles;83356;90023;34.02355126;-118.18962214;6504211.81658697;1831005.33268848
157260850;-118.335251175816907;33.881111709570995;Alondra Community Regional Park;3850 Manhattan Beach Boulevard;Lawndale;83339;90260;33.88111174;-118.33525112;6459911.16896798;1779283.98042272
157260851;-118.155235131948373;34.025249204041778;Atlantic Pool;570 South Atlantic Boulevard;East Los Angeles;83344;90022;34.02524924;-118.15523508;6514632.58675589;1831605.38627839
157260852;-118.157575029336698;34.037819978579712;Belvedere Pool;4914 East Cesar Chavez Avenue;Los Angeles;83346;90022;34.03782001;-118.15757497;6513930.74695222;1836181.23801906
157260853;-118.178719572520578;34.049733887261951;City Terrace Pool;1126 North Hazard Avenue;East Los Angeles;83348;90063;34.04973392;-118.17871952;6507532.42149431;1840527.6518984
157260854;-118.176065761009298;34.038315921572874;Eugene A. Obregon Pool;4021 East First Street;Los Angeles;83350;90063;34.03831596;-118.17606571;6508329.0380113;1836371.01815131
157260855;-118.616113444039371;34.488846808653342;Castaic Aquatics Center;31320 North Castaic Road;Castaic;83358;91384;34.48884684;-118.61611339;6376017.15368547;2000850.09076731
157260856;-118.415775511923044;34.318659693232789;El Cariso Community Regional Pool;13100 Hubbard Street;Sylmar;83360;91342;34.31865973;-118.41577546;6436128.28379105;1938606.22214507
157260857;-117.96616563785021;34.527872826331667;Everett Martin Pool;35548 North 92nd Street East;Littlerock;83362;93543;34.52787286;-117.96616558;6571860.91291581;2014485.30168581
157260858;-118.22788670784243;34.651829232482299;George Lane Pool;5520 West Avenue L-8;Quarts Hills;83364;93534;34.65182927;-118.22788665;6493135.43782113;2059672.24149548
157260859;-118.499773449940292;34.28882454108571;Knollwood Pool;12040 Balboa Boulevard;Granada Hills;83366;91343;34.28882458;-118.49977339;6410711.58888964;1927864.29776281
157260860;-118.433113148919531;34.281579050437209;San Fernando Pool;208 Park Avenue;San Fernando;83368;91340;34.28157908;-118.43311309;6430835.12836689;1925134.12048039
157260861;-118.664260864219528;34.446319498104501;Val Verde Pool;30300 West Arlington Road;Val Verde;83370;91384;34.44631953;-118.66426081;6361406.84202689;1985466.21831989
157260862;-118.309459408904104;33.946447583905886;Jesse Owens Pool;9651 South Western Avenue;Los Angeles;83372;90047;33.94644762;-118.30945935;6467812.94942422;1803035.98574014
157260863;-118.242043516958816;33.968003855422019;Roosevelt Pool;7600 Graham Avenue;Los Angeles;83374;90001;33.96800389;-118.24204346;6488278.67686538;1810824.66438848
157260864;-118.022329337878418;33.942729800881935;California High School Pool;9800 Mills Avenue;Whittier;83376;90604;33.94272983;-118.02232928;6554897.66698672;1801539.28105639
