OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1350;27922854;27922854;0.008;1,81E+13;390;39004;3213;Lake/Pond: Hydrographic Category = Perennial;Perennial;84470.3169564085;1252.2200972265;Yes
1270;27928856;27928856;0.005; ;361;36100;3133;Playa; ;54226.693432431;1259.45071947374;Yes
1192;27687814;27687814;0.007;1,81E+13;390;39001;3055;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;71395.928149287;1271.04123843335;Yes
1896;27086467;27086467;0.01;1,81E+13;390;39004;3759;Lake/Pond: Hydrographic Category = Perennial;Perennial;108273.007738154;1271.48366528906;Yes
1598;132735676;132735676;0.008;1,81E+13;390;39001;3461;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;88349.6268842852;1292.36210100551;Yes
1436;27693220;27693220;0.01;1,81E+13;390;39004;3299;Lake/Pond: Hydrographic Category = Perennial;Perennial;103187.292483188;1294.62241041584;Yes
1866;27927664;27927664;0.005; ;361;36100;3729;Playa; ;57806.2364029227;1299.71567337348;Yes
1086;132735627;132735627;0.01;1,81E+13;436;43613;2949;Reservoir: Reservoir Type = Water Storage;;;;
1385;132735481;132735481;0.003;1,81E+13;390;39001;3248;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;28492.6380618165;1315.51686562674;Yes
1671;27684784;27684784;0.006;1,81E+13;390;39004;3534;Lake/Pond: Hydrographic Category = Perennial;Perennial;66107.5307621151;1332.31087421165;Yes
1803;27922894;27922894;0.006;1,81E+13;390;39001;3666;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;69305.5620063471;1339.28583592097;Yes
1735;27687852;27687852;0.004;1,81E+13;390;39004;3598;Lake/Pond: Hydrographic Category = Perennial;Perennial;43207.2317386398;1364.57496898629;Yes
1982;27684648;27684648;0.011;1,81E+13;390;39004;3845;Lake/Pond: Hydrographic Category = Perennial;Perennial;119502.842764373;1373.33471468849;Yes
1731;27088119;27088119;0.006;1,81E+13;390;39004;3594;Lake/Pond: Hydrographic Category = Perennial;Perennial;61499.9885983046;1378.20344267653;Yes
1462;27686772;27686772;0.009;1,81E+13;436;43613;3325;Reservoir: Reservoir Type = Water Storage;;;;
1401;27684820;27684820;0.013;1,81E+13;390;39001;3264;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;135363.290318265;1400.64797056709;Yes
1405;27108575;27108575;0.005;1,81E+13;390;39004;3268;Lake/Pond: Hydrographic Category = Perennial;Perennial;51915.866882878;1400.82322704558;Yes
1509;27922906;27922906;0.005;1,81E+13;390;39001;3372;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;53618.009392706;1409.78805201666;Yes
