OBJECTID;X;Y;Name;post_id;latitude;longitude;POINT_X;POINT_Y
157210319;-118.340353755969588;34.013067966899918;Santa Barbara Plaza Shopping Center;24075;34.013068;-118.3403537;6458524.98342013;1827310.69178382
157210320;-118.360077456624012;34.070287666659759;Town And Country Shopping Center;24076;34.0702877;-118.3600774;6452622.26720722;1848154.75705098
157210321;-118.493972156148374;34.158339066356149;Rubio Plaza Shopping Center;24077;34.1583391;-118.4939721;6412230.52253155;1880370.17687197
157210322;-118.436747856024482;34.156950466581421;Sherman Oaks Fashion Square Shopping Center;24078;34.1569505;-118.4367478;6429540.09585197;1879784.6973999
157210323;-118.467304455831311;34.155283766552735;Sherman Oaks Galleria Shopping Center;24079;34.1552838;-118.4673044;6420292.98803389;1879219.73297864
157210324;-118.447581556306702;34.15250616686307;Sherman Oaks Square Shopping Center;24080;34.1525062;-118.4475815;6426255.37341881;1878181.76917531
157210325;-118.44730375558423;34.151395066950769;Sherman Oaks Town Center Shopping Center;24081;34.1513951;-118.4473037;6426337.62161389;1877777.04951231
157210326;-118.44924965634938;34.223614966313065;Panorama Mall Shopping Center;24083;34.223615;-118.4492496;6425866.35254331;1904061.5422188
157210327;-118.449249856080655;34.234447866139668;Vannord Center Shopping Center;24085;34.2344479;-118.4492498;6425883.91156331;1908003.79122406
157210328;-118.417025555653467;34.187227366217542;Victory Plaza Shopping Center;24086;34.1872274;-118.4170255;6435552.40206881;1890777.57633273
157210329;-118.3931350558303;34.143062466535511;Studio City Plaza Shopping Center;24087;34.1430625;-118.393135;6442714.53013296;1874676.17284006
157210331;-118.397581055761293;34.222226166140338;Canyon Plaza Shopping Center;24089;34.2222262;-118.397581;6441483.20385547;1903490.34454231
157210332;-118.333128156279187;33.793627867038815;Airport Plaza Shopping Center;24090;33.7936279;-118.3331281;6460450.05634163;1747444.38694981
157210333;-118.34062815588527;33.789738867189925;Country Hills Shopping Center;24091;33.7897389;-118.3406281;6458166.40966222;1746036.71752106
157210334;-118.325629155917497;33.871682167506378;Crenshaw Shopping Center;24092;33.8716822;-118.3256291;6462820.62476322;1775842.75863065
157210336;-118.390352155664615;33.839737266997751;The Pier Shopping Center;24095;33.8397373;-118.3903521;6443127.90955555;1764287.27189915
157210344;-118.376944455715361;33.774722167437922;Peninsula Shopping Center;24104;33.7747222;-118.3769444;6447110.82284956;1740611.14405465
157210345;-118.353611155611233;33.867222167253914;Galleria Shopping Center;24105;33.8672222;-118.3536111;6454320.58336438;1774248.36516589
157210346;-118.344722256681791;34.089722167186061;West Hollywood Gateway Shopping Center;24107;34.0897222;-118.3447222;6457296.76704456;1855210.9965474
157210347;-118.383055656573717;34.066388866602502;Wilshire-Robertson Plaza Shopping Center;24108;34.0663889;-118.3830556;6445658.03310423;1846761.64271122
157210348;-118.408611156304488;33.886111067018362;Metlox Plaza Shopping Center;24109;33.8861111;-118.4086111;6437651.6360593;1781185.74236722
157210353;-118.537586455995722;34.256113966762243;Northridge Shopping Center;24115;34.256114;-118.5375864;6399226.44617756;1916019.42840798
157210355;-118.328683756049088;33.803905467529447;Crossroads Shopping Center;24119;33.8039055;-118.3286837;6461812.70355073;1751180.22199781
157210356;-118.42618995586885;34.04028796662061;Westside Pavilion Shopping Center;24121;34.040288;-118.4261899;6432554.17151672;1837315.6894903
157210362;-118.508973755931549;34.207782066446413;Saticoy Plaza Shopping Center;24127;34.2077821;-118.5089737;6407783.28306647;1898385.79110314
157210363;-118.535084655747539;34.168894266509142;Tarzana Square Shopping Center;24128;34.1688943;-118.5350846;6399813.4499248;1884275.01715939
157210366;-118.358410655711708;34.070287666458015;Parklabrea Shopping Center;24132;34.0702877;-118.3584106;6453127.04933414;1848152.95292073
157210367;-118.348966256479088;34.090287067133374;Movietown Plaza Shopping Center;24133;34.0902871;-118.3489662;6456012.50517739;1855421.00695415
157210390;-118.114787056741577;33.746961867571976;Seaside Village;24165;33.7469619;-118.114787;6526773.09397088;1730313.48682848
157210412;-118.190901455792542;33.760295767285605;Shoreline Village;24189;33.7602958;-118.1909014;6503642.23340856;1735201.26379831
157210421;-118.238405556568011;33.927237767153073;Kenneth Hahn Plaza Shopping Center;24201;33.9272378;-118.2384055;6489346.57925713;1795986.39813331
